method,score,n_sig,mean_abs_logfc,diversity_jaccard,genes
Top-K DE,4.522799344677422,15,4.522799344677422,,TSLP;CNTNAP3;ECRG4;IL33;RERGL;SFRP1;SLC6A2;VEGFD;FMO2;MMP11;LINC02607;CERS3-AS1;AL136366.1;CD300LG;CADM3-AS1
LASSO,5.286430426090041,15,5.286430426090041,,ANGPTL7;AC025470.2;HSD17B13;PLPP4;PITX1;HBB;ATP1A2;LINC02511;LINC01614;MYOC;MMP11;AC097713.1;VEGFD;CES1;COL10A1
Random Forest,5.666624304841051,15,5.666624304841051,,TMEM132C;CPA1;SLC19A3;LINC02511;ABCA8;SCARA5;LINC01614;COL10A1;LINC02660;MMP13;FMO2;CA4;MMP11;CD300LG;VEGFD
REINFORCE,4.713208184658438,15,4.713208184658438,0.719,AC044784.1;PCK1;GLYAT;SPHKAP;C7;PLIN4;ANGPTL7;ECRG4;PCOLCE2;CD36;CA3;KY;TACR1;HSD17B13;SLC4A4
Random,2.383111847797714,15,2.383111847797714,,EEF1A2;FABP6;ADGRD2;KLK6;IGKV3D-20;OPRPN;CSF3;C5orf17;ABCA13;AC011498.4;PEG10;MUCL1;KIF1A;PRSS12;ALDH3B2
GFlowNet (ours),4.532015344140602,15,4.532015344140602,0.114,ADIPOQ;AL391421.1;C1QL2;CD300LG;CSF3;FMO2;FRMD1;HAPLN1;HSD17B13;IBSP;IGKV2D-24;LEP;LINC01614;LINCADL;SELP
