round,best_reward,final_mean_reward,unique_explored,top_genes,critic_continue,elapsed_seconds
1,4.109276294708252,3.4017720222473145,786,"['ACVR1C', 'ADIPOQ', 'FMO2', 'LINCADL', 'MISP', 'ARC', 'CA3', 'TRHDE', 'MFSD6L', 'AC008663.1']",True,1978.8
2,3.2946128845214844,2.9812440872192383,793,"['KLK2', 'SLCO1A2', 'ALKAL2', 'BMP3', 'GLYAT', 'IGKV1D-27', 'CAMP', 'MUC2', 'DPP6', 'IGFBP1']",True,1923.9
