round,best_reward,final_mean_reward,unique_explored,top_genes,critic_continue,elapsed_seconds
1,4.975934982299805,3.5133461952209473,2400,"['MMP13', 'CD300LG', 'LINCADL', 'LRRC3B', 'HAPLN1', 'MISP', 'LINC01705', 'LEP', 'MYT1', 'SLC19A3']",True,11.2
2,4.763006210327148,4.391761302947998,2400,"['CSN1S1', 'PI16', 'TRARG1', 'GLYAT', 'WIF1', 'H2BU1', 'AC097713.1', 'ADGRD2', 'B3GAT1-DT', 'CD36']",True,8.7
3,5.0900444984436035,1.6251065731048584,2400,"['IL33', 'PLIN4', 'ATP1A2', 'MMP13', 'SCARA5', 'LINC01614', 'FP325317.1', 'MMP11', 'CA3', 'HOXC13']",True,8.5
